start,end,name
463.61,465.61,PreStimSilence
468.61,469.11,PostStimSilence
469.56,475.061,TRIAL
469.56,475.06,STIM_00ferretmixed42.wav
469.56,475.06,REFERENCE
469.56,471.56,PreStimSilence
474.56,475.06,PostStimSilence
475.6,481.101,TRIAL
475.6,481.1,STIM_SoundBible_sewing_machine.wav
475.6,481.1,REFERENCE
475.6,477.6,PreStimSilence
480.6,481.1,PostStimSilence
482.03,487.53099999999995,TRIAL
482.03,487.53,STIM_SoundBible_birds.wav
482.03,487.53,REFERENCE
482.03,484.03,PreStimSilence
487.03,487.53,PostStimSilence
488.03,493.53099999999995,TRIAL
488.03,493.53,STIM_ferretmixed33.wav
488.03,493.53,REFERENCE
488.03,490.03,PreStimSilence
493.03,493.53,PostStimSilence
494.05,499.551,TRIAL
494.05,499.55,STIM_00Oxford_male2b.wav
494.05,499.55,REFERENCE
494.05,496.05,PreStimSilence
499.05,499.55,PostStimSilence
500.07,505.57099999999997,TRIAL
500.07,505.57,STIM_kayser_thunder.wav
500.07,505.57,REFERENCE
500.07,502.07,PreStimSilence
505.07,505.57,PostStimSilence
506.05,511.551,TRIAL
506.05,511.55,STIM_00Oxford_male2b.wav
506.05,511.55,REFERENCE
506.05,508.05,PreStimSilence
511.05,511.55,PostStimSilence
511.99,517.491,TRIAL
511.99,517.49,STIM_00Oxford_male2b.wav
511.99,517.49,REFERENCE
511.99,513.99,PreStimSilence
516.99,517.49,PostStimSilence
518.02,523.521,TRIAL
518.02,523.52,STIM_ferretmixed12.wav
518.02,523.52,REFERENCE
518.02,520.02,PreStimSilence
523.02,523.52,PostStimSilence
523.98,529.481,TRIAL
523.98,529.48,STIM_00Oxford_male2b.wav
523.98,529.48,REFERENCE
523.98,525.98,PreStimSilence
528.98,529.48,PostStimSilence
530.02,535.521,TRIAL
530.02,535.52,STIM_LBHB_scratch.wav
530.02,535.52,REFERENCE
530.02,532.02,PreStimSilence
535.02,535.52,PostStimSilence
536.06,541.5609999999999,TRIAL
536.06,541.56,STIM_SoundBible_rainforest.wav
536.06,541.56,REFERENCE
536.06,538.06,PreStimSilence
541.06,541.56,PostStimSilence
542.05,547.5509999999999,TRIAL
542.05,547.55,STIM_Oxford_male3a.wav
542.05,547.55,REFERENCE
542.05,544.05,PreStimSilence
547.05,547.55,PostStimSilence
548.22,553.721,TRIAL
548.22,553.72,STIM_ESE-40_On_board_motor_boat.wav
548.22,553.72,REFERENCE
548.22,550.22,PreStimSilence
553.22,553.72,PostStimSilence
554.25,559.751,TRIAL
554.25,559.75,STIM_00ferretmixed42.wav
554.25,559.75,REFERENCE
554.25,556.25,PreStimSilence
559.25,559.75,PostStimSilence
560.23,565.731,TRIAL
560.23,565.73,STIM_LBHB_stairs.wav
